id,city,code,tzone
1,Luwan,CN,Asia/Yekaterinburg
2,Yujia,CN,Asia/Kolkata
3,Trąbki,PL,Asia/Kolkata
4,Chahe,CN,Africa/Cairo
5,Texistepeque,SV,Asia/Almaty
6,Rautalampi,FI,Europe/London
7,Nevinnomyssk,RU,Asia/Yakutsk
8,Sokol,RU,America/Phoenix
9,Ijebu-Ife,NG,Pacific/Auckland
10,Rios Frios,PT,Europe/London
11,Kuala Lumpur,MY,Africa/Nairobi
12,Aristóbulo del Valle,AR,Europe/Madrid
13,Buri,BR,Europe/Warsaw
14,Bicaj,AL,Europe/Prague
15,Xibali,CN,Asia/Kolkata
16,Pangantocan,PH,Asia/Kolkata
17,Ognevka,KZ,Europe/Bucharest
18,Gaurnadi,BD,Europe/London
19,Galesong,ID,Pacific/Honolulu
20,Otterburn Park,CA,Asia/Yakutsk
21,Cimarelang,ID,Asia/Almaty
22,Mao,DO,Europe/Riga
23,Jönköping,SE,America/Guatemala
24,San Buenaventura,HN,America/Santiago
25,Kurlovo,RU,Australia/Darwin
26,Mosul,IQ,Asia/Shanghai
27,Nyamanari,GM,Asia/Ulaanbaatar
28,Maojiagang,CN,Europe/Moscow
29,Leipzig,DE,Australia/Darwin
30,Nama,PH,America/Denver
31,Araguari,BR,America/Los_Angeles
32,Tiko,CM,America/La_Paz
33,Barrio San Luis,CO,America/Mexico_City
34,Mörrum,SE,Australia/Brisbane
35,Huddinge,SE,Europe/Zagreb
36,Zagreb - Centar,HR,Europe/Warsaw
37,El Bálsamo,HN,Asia/Riyadh
38,Ambat,ID,Europe/London
39,Cube,EC,America/New_York
40,Pajannangger,ID,Europe/Dublin
41,Xinwo,CN,Europe/Madrid
42,Yeosu,KR,Pacific/Auckland
43,Stockholm,SE,Atlantic/Cape_Verde
44,Kolobovo,RU,Asia/Kuala_Lumpur
45,Kitwe,ZM,Asia/Jakarta
46,Hengtanggang,CN,Asia/Jerusalem
47,Koygorodok,RU,America/Guatemala
48,Ekazhevo,RU,Asia/Tokyo
49,Metz,FR,Europe/Moscow
50,Shuhong,CN,Europe/Budapest
51,Cartagena,ES,Australia/Darwin
52,Wujiaying,CN,America/Argentina/Buenos_Aires
53,Fontana,AR,Asia/Yekaterinburg
54,San Fernando de Monte Cristi,DO,Europe/Sofia
55,Wuxi,CN,Europe/Amsterdam
56,Ljusdal,SE,Asia/Seoul
57,Nangerang,ID,Pacific/Port_Moresby
58,Ngudu,TZ,Europe/Moscow
59,Lipiany,PL,Asia/Bangkok
60,Uchaly,RU,Asia/Jerusalem
61,Bonpland,AR,America/Chihuahua
62,Baini,CN,America/Caracas
63,Buôn Trấp,VN,Pacific/Midway
64,Zabłocie,PL,Asia/Bangkok
65,Perches,HT,Africa/Harare
66,Sibulan,PH,Asia/Muscat
67,Yangpu,CN,America/Godthab
68,Brades,MS,America/St_Johns
69,Vilar do Monte,PT,America/Mexico_City
70,Akzhal,KZ,Asia/Almaty
71,Winseler,LU,America/Chicago
72,Dadapan,ID,Asia/Kathmandu
73,Praia de Mira,PT,Europe/Madrid
74,Jeju-si,KR,Europe/Moscow
75,Lakota,CI,Africa/Johannesburg
76,Baolong,CN,America/Halifax
77,Lumbang,PH,Africa/Monrovia
78,Andalucía,CO,Europe/Minsk
79,Angra dos Reis,BR,Europe/Bucharest
80,Kopong,BW,Asia/Bangkok
81,Nerópolis,BR,Asia/Muscat
82,Yirga ‘Alem,ET,Europe/Amsterdam
83,Biskamzha,RU,Asia/Kuwait
84,Žemaičių Naumiestis,LT,Europe/Rome
85,Shijia,CN,Australia/Adelaide
86,Heba,CN,Europe/Skopje
87,Méru,FR,Pacific/Majuro
88,Umbulan,ID,Europe/Berlin
89,Maykopskoye,RU,Asia/Chongqing
90,San Francisco,US,Europe/Berlin
91,Liucun,CN,Europe/London
92,Kinsale,IE,America/Regina
93,Fufang,CN,Europe/Helsinki
94,Niemodlin,PL,Europe/Bucharest
95,Lubukalung,ID,America/Sao_Paulo
96,Nerchinsk,RU,Europe/Amsterdam
97,Lethbridge,CA,Asia/Kolkata
98,Aleg,MR,Asia/Magadan
99,Mutengene,CM,Europe/Moscow
100,Wa,GH,Pacific/Pago_Pago
